phantom,TR,TE,CNR_WM_GM,noise_std_est,J
0,700,110,0.7507953450120259,0.019793462784788867,-0.14520465498797408
0,700,115,0.7440450526133606,0.019934035193986854,-0.1519549473866394
0,700,120,0.773279900276012,0.020161225464120025,-0.12272009972398801
0,700,125,0.7880537711979883,0.019912019173415577,-0.10794622880201177
0,700,130,0.7835449615259888,0.02004302766976537,-0.11245503847401117
0,700,135,0.7828429950426952,0.019964589123593553,-0.11315700495730485
0,700,140,0.792134509448593,0.02002777763623665,-0.10386549055140704
0,700,145,0.7722970289957274,0.02010887622273176,-0.12370297100427263
0,700,150,0.7467825693405834,0.020050723566286406,-0.14921743065941662
0,700,155,0.7619956102173642,0.019904389097581517,-0.13400438978263585
0,700,160,0.7776569101977204,0.020016331800553625,-0.11834308980227959
0,700,165,0.7641172818312374,0.019998356444869903,-0.13188271816876262
0,700,170,0.7458348117801898,0.020043642526751077,-0.15016518821981018
0,700,175,0.7266656996521512,0.02016316160899381,-0.1693343003478488
0,700,180,0.7200245695849163,0.020085412782306942,-0.17597543041508368
0,700,185,0.6959483649208761,0.020080515255957485,-0.20005163507912394
0,700,190,0.715134483389413,0.020066502746820356,-0.18086551661058703
0,700,195,0.7033121004209576,0.020140571986197217,-0.19268789957904242
0,700,200,0.668227987162037,0.01984851978866542,-0.227772012837963
0,800,10,1.4820533986329893,0.01995074965371819,0.45805339863298933
0,800,15,1.170134684266483,0.02008034609912222,0.14613468426648302
0,800,20,0.9131384538910062,0.019966837931292773,-0.11086154610899379
0,800,25,0.7091105862207548,0.019976932612176885,-0.3148894137792452
0,800,30,0.49333744687334,0.019914453178534467,-0.53066255312666
0,800,35,0.3031917515655398,0.02000359907680452,-0.7208082484344602
0,800,40,0.1373900945585361,0.0199459525350503,-0.8866099054414639
0,800,45,0.016244415103729194,0.01998933895950238,-1.007755584896271
0,800,50,0.14800642425260935,0.01995125441266242,-0.8759935757473907
0,800,55,0.2589171161542196,0.020003106077337802,-0.7650828838457804
0,800,60,0.36601123875169106,0.020038365267035146,-0.657988761248309
0,800,65,0.47465411900366394,0.02000408405919392,-0.5493458809963361
0,800,70,0.5714519436890558,0.01984732772356688,-0.4525480563109442
0,800,75,0.6118501576103962,0.020034688041834933,-0.41214984238960384
0,800,80,0.6923082038258508,0.019961698793644667,-0.33169179617414923
0,800,85,0.7436368907242499,0.020079345020402227,-0.28036310927575014
0,800,90,0.7853686673956739,0.01997441769925483,-0.23863133260432612
