TR,TE,CNR_WM_GM,CNR_GM_CSF,CNR_WM_CSF
900,100,1.270466526536347,1.7450876221379752,3.015554148674322
900,105,1.2863359425016103,2.102101138796675,3.388437081298285
900,110,1.296742545382968,2.4405956988586177,3.737338244241586
900,115,1.3022368429323492,2.7614772470423667,4.063714089974716
900,120,1.3033252825899635,3.065607537718462,4.368932820308426
900,125,1.300473443137174,3.3538062901153376,4.654279733252512
900,130,1.2941090075101995,3.626853238414612,4.920962245924812
900,135,1.2846245312754592,3.8854900818619647,5.170114613137424
900,140,1.2723800203282412,4.130422339769963,5.402802360098203
900,145,1.2577053304971282,4.362321116051281,5.620026446548409
900,150,1.240902400913342,4.581824777694589,5.822727178607931
900,155,1.22224733223361,4.789540551380142,6.011787883613752
900,160,1.201992320083667,4.986046042227498,6.188038362311166
900,165,1.1803674534142587,5.171890678472945,6.352258131887203
900,170,1.157582386829405,5.347597085689206,6.505179472518612
900,175,1.1338278953551602,5.513662393983537,6.647490289338697
900,180,1.1092773195633252,5.670559481443039,6.779836801006364
900,185,1.0840879084465527,5.8187381569363605,6.902826065382913
900,190,1.0584020669563272,5.9586262852294425,7.017028352185769
900,195,1.032348514661664,6.090630857228672,7.122979371890336
900,200,1.006043361561826,6.215139008027639,7.2211823695894655
